method,class_id,prompt,seed,ratio,beta,image_path,time_sec,peak_mem_gb
full,0,a photo of a tench,0,0.0,0.0,generated/full/class_0000_seed0_a_photo_of_a_tench.png,4.6355,6.1226
full,0,a photo of a tench,1,0.0,0.0,generated/full/class_0000_seed1_a_photo_of_a_tench.png,4.3107,6.1226
full,1,a photo of a goldfish,0,0.0,0.0,generated/full/class_0001_seed0_a_photo_of_a_goldfish.png,4.3022,6.1226
full,1,a photo of a goldfish,1,0.0,0.0,generated/full/class_0001_seed1_a_photo_of_a_goldfish.png,4.3436,6.1226
full,2,a photo of a great white shark,0,0.0,0.0,generated/full/class_0002_seed0_a_photo_of_a_great_white_shark.png,4.3335,6.1226
full,2,a photo of a great white shark,1,0.0,0.0,generated/full/class_0002_seed1_a_photo_of_a_great_white_shark.png,4.3390,6.1226
full,3,a photo of a tiger shark,0,0.0,0.0,generated/full/class_0003_seed0_a_photo_of_a_tiger_shark.png,4.3242,6.1226
full,3,a photo of a tiger shark,1,0.0,0.0,generated/full/class_0003_seed1_a_photo_of_a_tiger_shark.png,4.3438,6.1226
full,4,a photo of a hammerhead,0,0.0,0.0,generated/full/class_0004_seed0_a_photo_of_a_hammerhead.png,4.3494,6.1226
full,4,a photo of a hammerhead,1,0.0,0.0,generated/full/class_0004_seed1_a_photo_of_a_hammerhead.png,4.3263,6.1226
full,5,a photo of a electric ray,0,0.0,0.0,generated/full/class_0005_seed0_a_photo_of_a_electric_ray.png,4.3429,6.1226
full,5,a photo of a electric ray,1,0.0,0.0,generated/full/class_0005_seed1_a_photo_of_a_electric_ray.png,4.3361,6.1226
full,6,a photo of a stingray,0,0.0,0.0,generated/full/class_0006_seed0_a_photo_of_a_stingray.png,4.3419,6.1226
full,6,a photo of a stingray,1,0.0,0.0,generated/full/class_0006_seed1_a_photo_of_a_stingray.png,4.3203,6.1226
full,7,a photo of a cock,0,0.0,0.0,generated/full/class_0007_seed0_a_photo_of_a_cock.png,4.3625,6.1226
full,7,a photo of a cock,1,0.0,0.0,generated/full/class_0007_seed1_a_photo_of_a_cock.png,4.3617,6.1226
full,8,a photo of a hen,0,0.0,0.0,generated/full/class_0008_seed0_a_photo_of_a_hen.png,4.3775,6.1226
full,8,a photo of a hen,1,0.0,0.0,generated/full/class_0008_seed1_a_photo_of_a_hen.png,4.3454,6.1226
full,9,a photo of a ostrich,0,0.0,0.0,generated/full/class_0009_seed0_a_photo_of_a_ostrich.png,4.3485,6.1226
full,9,a photo of a ostrich,1,0.0,0.0,generated/full/class_0009_seed1_a_photo_of_a_ostrich.png,4.3682,6.1226
full,10,a photo of a brambling,0,0.0,0.0,generated/full/class_0010_seed0_a_photo_of_a_brambling.png,4.3465,6.1226
full,10,a photo of a brambling,1,0.0,0.0,generated/full/class_0010_seed1_a_photo_of_a_brambling.png,4.3141,6.1226
full,11,a photo of a goldfinch,0,0.0,0.0,generated/full/class_0011_seed0_a_photo_of_a_goldfinch.png,4.3563,6.1226
full,11,a photo of a goldfinch,1,0.0,0.0,generated/full/class_0011_seed1_a_photo_of_a_goldfinch.png,4.3640,6.1226
full,12,a photo of a house finch,0,0.0,0.0,generated/full/class_0012_seed0_a_photo_of_a_house_finch.png,4.3536,6.1226
full,12,a photo of a house finch,1,0.0,0.0,generated/full/class_0012_seed1_a_photo_of_a_house_finch.png,4.3426,6.1226
full,13,a photo of a junco,0,0.0,0.0,generated/full/class_0013_seed0_a_photo_of_a_junco.png,4.3531,6.1226
full,13,a photo of a junco,1,0.0,0.0,generated/full/class_0013_seed1_a_photo_of_a_junco.png,4.3418,6.1226
full,14,a photo of a indigo bunting,0,0.0,0.0,generated/full/class_0014_seed0_a_photo_of_a_indigo_bunting.png,4.3155,6.1226
full,14,a photo of a indigo bunting,1,0.0,0.0,generated/full/class_0014_seed1_a_photo_of_a_indigo_bunting.png,4.3618,6.1226
full,15,a photo of a robin,0,0.0,0.0,generated/full/class_0015_seed0_a_photo_of_a_robin.png,4.3589,6.1226
full,15,a photo of a robin,1,0.0,0.0,generated/full/class_0015_seed1_a_photo_of_a_robin.png,4.3388,6.1226
full,16,a photo of a bulbul,0,0.0,0.0,generated/full/class_0016_seed0_a_photo_of_a_bulbul.png,4.3569,6.1226
full,16,a photo of a bulbul,1,0.0,0.0,generated/full/class_0016_seed1_a_photo_of_a_bulbul.png,4.3667,6.1226
full,17,a photo of a jay,0,0.0,0.0,generated/full/class_0017_seed0_a_photo_of_a_jay.png,4.3715,6.1226
full,17,a photo of a jay,1,0.0,0.0,generated/full/class_0017_seed1_a_photo_of_a_jay.png,4.3221,6.1226
full,18,a photo of a magpie,0,0.0,0.0,generated/full/class_0018_seed0_a_photo_of_a_magpie.png,4.3583,6.1226
full,18,a photo of a magpie,1,0.0,0.0,generated/full/class_0018_seed1_a_photo_of_a_magpie.png,4.3660,6.1226
full,19,a photo of a chickadee,0,0.0,0.0,generated/full/class_0019_seed0_a_photo_of_a_chickadee.png,4.3369,6.1226
full,19,a photo of a chickadee,1,0.0,0.0,generated/full/class_0019_seed1_a_photo_of_a_chickadee.png,4.3547,6.1226
full,20,a photo of a water ouzel,0,0.0,0.0,generated/full/class_0020_seed0_a_photo_of_a_water_ouzel.png,4.3643,6.1226
full,20,a photo of a water ouzel,1,0.0,0.0,generated/full/class_0020_seed1_a_photo_of_a_water_ouzel.png,4.3712,6.1226
full,21,a photo of a kite,0,0.0,0.0,generated/full/class_0021_seed0_a_photo_of_a_kite.png,4.3330,6.1226
full,21,a photo of a kite,1,0.0,0.0,generated/full/class_0021_seed1_a_photo_of_a_kite.png,4.3443,6.1226
full,22,a photo of a bald eagle,0,0.0,0.0,generated/full/class_0022_seed0_a_photo_of_a_bald_eagle.png,4.3767,6.1226
full,22,a photo of a bald eagle,1,0.0,0.0,generated/full/class_0022_seed1_a_photo_of_a_bald_eagle.png,4.3189,6.1226
full,23,a photo of a vulture,0,0.0,0.0,generated/full/class_0023_seed0_a_photo_of_a_vulture.png,4.3388,6.1226
full,23,a photo of a vulture,1,0.0,0.0,generated/full/class_0023_seed1_a_photo_of_a_vulture.png,4.3637,6.1226
full,24,a photo of a great grey owl,0,0.0,0.0,generated/full/class_0024_seed0_a_photo_of_a_great_grey_owl.png,4.3648,6.1226
full,24,a photo of a great grey owl,1,0.0,0.0,generated/full/class_0024_seed1_a_photo_of_a_great_grey_owl.png,4.3676,6.1226
full,25,a photo of a European fire salamander,0,0.0,0.0,generated/full/class_0025_seed0_a_photo_of_a_European_fire_salamander.png,4.3372,6.1226
full,25,a photo of a European fire salamander,1,0.0,0.0,generated/full/class_0025_seed1_a_photo_of_a_European_fire_salamander.png,4.3813,6.1226
full,26,a photo of a common newt,0,0.0,0.0,generated/full/class_0026_seed0_a_photo_of_a_common_newt.png,4.3597,6.1226
full,26,a photo of a common newt,1,0.0,0.0,generated/full/class_0026_seed1_a_photo_of_a_common_newt.png,4.3258,6.1226
full,27,a photo of a eft,0,0.0,0.0,generated/full/class_0027_seed0_a_photo_of_a_eft.png,4.3750,6.1226
full,27,a photo of a eft,1,0.0,0.0,generated/full/class_0027_seed1_a_photo_of_a_eft.png,4.3558,6.1226
full,28,a photo of a spotted salamander,0,0.0,0.0,generated/full/class_0028_seed0_a_photo_of_a_spotted_salamander.png,4.3453,6.1226
full,28,a photo of a spotted salamander,1,0.0,0.0,generated/full/class_0028_seed1_a_photo_of_a_spotted_salamander.png,4.3469,6.1226
full,29,a photo of a axolotl,0,0.0,0.0,generated/full/class_0029_seed0_a_photo_of_a_axolotl.png,4.3434,6.1226
full,29,a photo of a axolotl,1,0.0,0.0,generated/full/class_0029_seed1_a_photo_of_a_axolotl.png,4.3733,6.1226
full,30,a photo of a bullfrog,0,0.0,0.0,generated/full/class_0030_seed0_a_photo_of_a_bullfrog.png,4.3660,6.1226
full,30,a photo of a bullfrog,1,0.0,0.0,generated/full/class_0030_seed1_a_photo_of_a_bullfrog.png,4.3486,6.1226
full,31,a photo of a tree frog,0,0.0,0.0,generated/full/class_0031_seed0_a_photo_of_a_tree_frog.png,4.3654,6.1226
full,31,a photo of a tree frog,1,0.0,0.0,generated/full/class_0031_seed1_a_photo_of_a_tree_frog.png,4.3506,6.1226
full,32,a photo of a tailed frog,0,0.0,0.0,generated/full/class_0032_seed0_a_photo_of_a_tailed_frog.png,4.3341,6.1226
full,32,a photo of a tailed frog,1,0.0,0.0,generated/full/class_0032_seed1_a_photo_of_a_tailed_frog.png,4.3597,6.1226
full,33,a photo of a loggerhead,0,0.0,0.0,generated/full/class_0033_seed0_a_photo_of_a_loggerhead.png,4.3712,6.1226
full,33,a photo of a loggerhead,1,0.0,0.0,generated/full/class_0033_seed1_a_photo_of_a_loggerhead.png,4.3650,6.1226
full,34,a photo of a leatherback turtle,0,0.0,0.0,generated/full/class_0034_seed0_a_photo_of_a_leatherback_turtle.png,4.3510,6.1226
full,34,a photo of a leatherback turtle,1,0.0,0.0,generated/full/class_0034_seed1_a_photo_of_a_leatherback_turtle.png,4.3521,6.1226
full,35,a photo of a mud turtle,0,0.0,0.0,generated/full/class_0035_seed0_a_photo_of_a_mud_turtle.png,4.3642,6.1226
full,35,a photo of a mud turtle,1,0.0,0.0,generated/full/class_0035_seed1_a_photo_of_a_mud_turtle.png,4.3144,6.1226
full,36,a photo of a terrapin,0,0.0,0.0,generated/full/class_0036_seed0_a_photo_of_a_terrapin.png,4.3624,6.1226
full,36,a photo of a terrapin,1,0.0,0.0,generated/full/class_0036_seed1_a_photo_of_a_terrapin.png,4.3670,6.1226
full,37,a photo of a box turtle,0,0.0,0.0,generated/full/class_0037_seed0_a_photo_of_a_box_turtle.png,4.3665,6.1226
full,37,a photo of a box turtle,1,0.0,0.0,generated/full/class_0037_seed1_a_photo_of_a_box_turtle.png,4.3543,6.1226
full,38,a photo of a banded gecko,0,0.0,0.0,generated/full/class_0038_seed0_a_photo_of_a_banded_gecko.png,4.3680,6.1226
full,38,a photo of a banded gecko,1,0.0,0.0,generated/full/class_0038_seed1_a_photo_of_a_banded_gecko.png,4.3761,6.1226
full,39,a photo of a common iguana,0,0.0,0.0,generated/full/class_0039_seed0_a_photo_of_a_common_iguana.png,4.3525,6.1226
full,39,a photo of a common iguana,1,0.0,0.0,generated/full/class_0039_seed1_a_photo_of_a_common_iguana.png,4.3287,6.1226
full,40,a photo of a American chameleon,0,0.0,0.0,generated/full/class_0040_seed0_a_photo_of_a_American_chameleon.png,4.3889,6.1226
full,40,a photo of a American chameleon,1,0.0,0.0,generated/full/class_0040_seed1_a_photo_of_a_American_chameleon.png,4.4044,6.1226
full,41,a photo of a whiptail,0,0.0,0.0,generated/full/class_0041_seed0_a_photo_of_a_whiptail.png,4.4003,6.1226
full,41,a photo of a whiptail,1,0.0,0.0,generated/full/class_0041_seed1_a_photo_of_a_whiptail.png,4.4009,6.1226
full,42,a photo of a agama,0,0.0,0.0,generated/full/class_0042_seed0_a_photo_of_a_agama.png,4.3992,6.1226
full,42,a photo of a agama,1,0.0,0.0,generated/full/class_0042_seed1_a_photo_of_a_agama.png,4.4015,6.1226
full,43,a photo of a frilled lizard,0,0.0,0.0,generated/full/class_0043_seed0_a_photo_of_a_frilled_lizard.png,4.3979,6.1226
full,43,a photo of a frilled lizard,1,0.0,0.0,generated/full/class_0043_seed1_a_photo_of_a_frilled_lizard.png,4.4062,6.1226
full,44,a photo of a alligator lizard,0,0.0,0.0,generated/full/class_0044_seed0_a_photo_of_a_alligator_lizard.png,4.3979,6.1226
full,44,a photo of a alligator lizard,1,0.0,0.0,generated/full/class_0044_seed1_a_photo_of_a_alligator_lizard.png,4.4096,6.1226
full,45,a photo of a Gila monster,0,0.0,0.0,generated/full/class_0045_seed0_a_photo_of_a_Gila_monster.png,4.4038,6.1226
full,45,a photo of a Gila monster,1,0.0,0.0,generated/full/class_0045_seed1_a_photo_of_a_Gila_monster.png,4.3963,6.1226
